"FRAME_NO, MEAN, STD_DEV"
958,15.4,4.651881339845202
959,15.4,4.651881339845202
960,15.4,4.651881339845202
961,15.4,4.651881339845202
962,15.4,4.651881339845202
963,15.4,4.651881339845202
964,15.4,4.651881339845202
965,15.0,4.47213595499958
966,15.0,4.47213595499958
967,15.0,4.47213595499958
968,15.0,4.47213595499958
969,15.0,4.47213595499958
970,15.0,4.47213595499958
971,15.0,4.47213595499958
972,15.0,4.47213595499958
973,15.0,4.47213595499958
974,15.0,4.47213595499958
975,15.0,4.47213595499958
976,15.0,4.47213595499958
977,15.0,4.47213595499958
978,15.0,4.47213595499958
979,15.0,4.47213595499958
980,15.0,4.47213595499958
981,15.0,4.47213595499958
